Date,Open,High,Low,Close,Volume
2004-03-23,21662.84,21831.54,21204.93,21204.93,288584800
2004-03-24,21202.17,21317.34,20833.87,20984.71,321336384
2004-03-25,20984.99,21323.08,20856.86,21000.38,271043200
2004-03-26,21001.25,21650.5,21001.25,21541.01,310589856
2004-03-29,21544.08,21816.98,21435.47,21530.7,314802752
2004-03-30,21531.24,22044.51,21531.24,22042.68,225338160
2004-03-31,22041.88,22255.98,21872.68,22142.26,242305920
2004-04-01,22142.26,22769.42,22142.26,22647.07,219063904
2004-04-02,22649.92,23034.4,22629.33,22948.95,223177632
2004-04-05,22948.95,23260.41,22772.57,23146.07,292004416
2004-04-06,23146.07,23178.84,22858.79,23071.6,370630080
2004-04-07,23060.99,23060.99,22443.38,22443.38,311884768
2004-04-08,22451.21,22739.8,22307.06,22724.7,221266640
2004-04-12,22724.7,22970.01,22496.26,22779.62,183378080
2004-04-13,22777.21,22994.87,22554.55,22619.62,211968160
2004-04-14,22618.03,22618.03,22165.11,22311.96,358496736
2004-04-15,22311.96,22311.96,21482.56,21739.46,212008096
2004-04-16,21726.62,21937.89,21591.96,21768.93,170385888
2004-04-19,21772.78,21863.99,21417.42,21626.72,266778960
2004-04-20,21626.72,21665.33,21067.96,21077.59,251292464
2004-04-22,21077.52,21182.03,20731.52,21141.61,258713632
2004-04-23,21141.61,21625.27,21141.61,21590.47,271398752
2004-04-26,21588.32,21778.27,21286.43,21323.63,241949440
2004-04-27,21324.02,21714.66,21253.73,21316.64,234059168
2004-04-28,21316.64,21373.68,20473.62,20473.62,468059840
2004-04-29,20481.45,20756.13,19675.56,19865.21,311755200
2004-04-30,19870.76,20172.16,19508.19,19607.23,315696960
2004-05-03,19621.85,19777.48,19085.75,19708.58,253848544
2004-05-04,19708.53,20194.87,19708.53,19987.56,249356384
2004-05-05,20013.14,20342.1,19835.4,20026.24,194826976
2004-05-06,20018.84,20018.84,19188.54,19190.48,265777824
2004-05-07,19183.87,19183.87,18572.54,18620.01,225196000
2004-05-10,18615.73,18615.73,17601.07,17604.12,307981248
2004-05-11,17607.33,18582.77,17607.33,18536.62,438945696
2004-05-12,18543.39,18745.32,17885.24,18325.66,394013248
2004-05-13,18325.66,18619.3,17901.54,18401.76,346288704
2004-05-14,18420.63,18951.94,18420.63,18611.21,346405312
2004-05-17,18608.81,18608.81,17973.14,18122.37,248587008
2004-05-18,18124.71,18610.24,18124.71,18556.29,240096176
2004-05-19,18601.61,19120.34,18601.61,18688.22,279762912
2004-05-20,18688.01,18688.01,18228.76,18240.06,232223072
2004-05-21,18239.12,18386.84,18041.2,18285.49,172866896
2004-05-24,18287.67,18670.07,18287.67,18669.3,155749360
2004-05-25,18674.68,18869.04,18589.94,18859.52,206291824
2004-05-26,18859.52,19078.75,18737.2,19069.44,214140208
2004-05-27,19068.98,19763.09,19060.54,19734.35,282748896
2004-05-28,19734.35,19990.85,19579.84,19667.38,259775104
2004-05-31,19671.82,19769.44,19420.6,19544.67,112046768
2004-06-01,19544.72,19613,19176.53,19545.82,341678880
2004-06-02,19552.64,19922.55,19552.64,19716.63,280655616
2004-06-03,19723.31,19775.68,19332.38,19399.96,147565520
2004-06-04,19404.32,19901.98,19404.32,19818.73,197095712
2004-06-07,19825.85,20487.09,19825.85,20446.77,198254880
2004-06-08,20446.77,20529.32,20158.54,20283.7,252867536
2004-06-09,20269.08,20297.93,19797.45,19864.7,244818352
2004-06-11,19864.7,19979.26,19788.95,19834.46,68368120
2004-06-14,19833.17,19833.17,19370.88,19487.69,210047120
2004-06-15,19496.25,20047.46,19496.25,20047.46,231172768
